Dropout 0.0
STEP  1, 727.2717147469201
STEP  2, 289.31035917700603
STEP  3, 281.26438564365134
STEP  4, 206.7510292642311
STEP  5, 131.50106742326628
STEP  6, 70.59248369141055
STEP  7, 66.40796430973687
STEP  8, 62.07981089827498
STEP  9, 48.97710244840268
STEP  10, 48.41781343217363
STEP  11, 45.195067255676996
STEP  12, 44.273949290616684
STEP  13, 44.04711965144715
STEP  14, 43.990761867274074
STEP  15, 43.976667964604836
STEP  16, 43.97785276914479
STEP  17, 43.97900614935763
STEP  18, 43.98019101689217
STEP  19, 43.98136543037311
STEP  20, 43.98253987521469
STEP  21, 43.98372483795368
STEP  22, 43.984878372169675
STEP  23, 43.986042423727184
STEP  24, 43.987196018725086
STEP  25, 43.98836013161868
STEP  26, 43.989482323660816
STEP  27, 43.99062552069118
STEP  28, 43.99174777052591
STEP  29, 43.99287004899049
STEP  30, 43.993981867101745
STEP  31, 43.99510420256061
STEP  32, 43.99621607713493
STEP  33, 43.997275530938474
STEP  34, 43.99837697035633
STEP  35, 43.99946794705603
STEP  36, 44.00051698862445
STEP  37, 44.00157654599637
STEP  38, 44.002615146796074
STEP  39, 44.00366426340047
STEP  40, 44.00466094734311
Dropout 0.25
STEP  1, 779.5201449948694
STEP  2, 315.1617786767899
STEP  3, 235.71739526172266
STEP  4, 192.84644029569716
STEP  5, 138.30540784860497
STEP  6, 144.15279777946765
STEP  7, 99.86981929216076
STEP  8, 94.58023199812895
STEP  9, 75.98191546124903
STEP  10, 40.9846737140598
STEP  11, 37.51220002209367
STEP  12, 31.95342625887084
STEP  13, 30.60140792743801
STEP  14, 30.839851559665146
STEP  15, 30.290231037668715
STEP  16, 30.594550508341914
STEP  17, 28.74244166470977
STEP  18, 29.426553573523613
STEP  19, 29.938002962897286
STEP  20, 30.142654086766008
STEP  21, 30.03744708643572
STEP  22, 29.227238198141553
STEP  23, 28.96518493298592
STEP  24, 29.56031190768284
STEP  25, 30.94634168262273
STEP  26, 30.587315409180377
STEP  27, 31.00079625691038
STEP  28, 30.577931293020928
STEP  29, 29.920327911057274
STEP  30, 29.95331026689441
STEP  31, 30.545062216632562
STEP  32, 29.429338992669592
STEP  33, 29.555977872983643
STEP  34, 29.568340359425772
STEP  35, 30.868776299857288
STEP  36, 29.65346017398068
STEP  37, 30.21093183750583
STEP  38, 32.54575489375048
STEP  39, 29.93791017195143
STEP  40, 31.53540364201
Dropout 0.5
STEP  1, 819.5922754804872
STEP  2, 311.6916532029007
STEP  3, 248.29745845168046
STEP  4, 196.41908185390085
STEP  5, 167.04962119472842
STEP  6, 147.08409043660637
STEP  7, 130.16793645218144
STEP  8, 136.69410104110514
STEP  9, 108.77312570091874
STEP  10, 93.77178308652478
STEP  11, 85.74394496383673
STEP  12, 58.691264360500504
STEP  13, 59.736568026768026
STEP  14, 51.30903852320023
STEP  15, 48.397546926657235
STEP  16, 43.412914237321
STEP  17, 45.9067641143189
STEP  18, 45.010507895407414
STEP  19, 46.149221533228
STEP  20, 44.31621349041622
STEP  21, 47.622772101058985
STEP  22, 47.326231737799446
STEP  23, 46.73429992076714
STEP  24, 46.76981285556888
STEP  25, 46.094756671959395
STEP  26, 43.95686653344258
STEP  27, 48.04185915870536
STEP  28, 46.31201983346448
STEP  29, 45.91855342029689
STEP  30, 44.104317246530904
STEP  31, 48.4807212883935
